ticker,name,sector,setup,score,grade,status,entry,stop,target,risk_reward,volume_multiple,avg_daily_value,spread_pct,reasons,risks,blockers,confidence,plain_english
CBA,Commonwealth Bank,Banks,Pullback in uptrend,82.0,A,ARMED,126.28,122.52,133.79,2.0,1.36,778860095.67,0.002,"['Price is above the 20-day average', 'Price is above the 50-day average', 'Banks sector is leading', 'Pullback is holding above key trend averages', '20-day momentum is positive', 'Liquidity passes minimum average daily value']",['200-day trend is unavailable'],['Risk-to-reward is below 2R'],73.7,"CBA is ARMED. It is close to a valid trade, but it still needs the trigger to confirm. Current score: 82/100. Main read: Price is above the 20-day average Price is above the 50-day average Banks sector is leading Pullback is holding above key trend averages Blockers: Risk-to-reward is below 2R"
BHP,BHP Group,Materials,Pullback in uptrend,76.6,B,ARMED,52.68,51.18,55.68,2.0,0.68,584831494.95,0.0025,"['Price is above the 20-day average', 'Price is above the 50-day average', 'Materials sector is leading', 'Pullback is holding above key trend averages', '20-day momentum is positive', 'Risk-to-reward is acceptable', 'Liquidity passes minimum average daily value']","['200-day trend is unavailable', 'Volume is below normal']",[],76.5,"BHP is ARMED. It is close to a valid trade, but it still needs the trigger to confirm. Current score: 77/100. Main read: Price is above the 20-day average Price is above the 50-day average Materials sector is leading Pullback is holding above key trend averages Blockers: No hard blockers were recorded."
WES,Wesfarmers,Consumer,Pullback in uptrend,75.3,B,ARMED,60.99,59.08,64.81,2.0,0.79,119162674.73,0.003,"['Price is above the 20-day average', 'Price is above the 50-day average', 'Pullback is holding above key trend averages', '20-day momentum is positive', 'Liquidity passes minimum average daily value']","['200-day trend is unavailable', 'Volume is below normal']",['Risk-to-reward is below 2R'],63.1,"WES is ARMED. It is close to a valid trade, but it still needs the trigger to confirm. Current score: 75/100. Main read: Price is above the 20-day average Price is above the 50-day average Pullback is holding above key trend averages 20-day momentum is positive Blockers: Risk-to-reward is below 2R"
CSL,CSL Limited,Healthcare,Pullback in uptrend,71.7,B,WATCH,305.31,296.16,323.62,2.0,0.66,310496715.69,0.0035,"['Price is above the 20-day average', 'Price is above the 50-day average', 'Pullback is holding above key trend averages', '20-day momentum is positive', 'Risk-to-reward is acceptable', 'Liquidity passes minimum average daily value']","['200-day trend is unavailable', 'Volume is below normal']",['Healthcare sector is weak'],64.2,"CSL is on WATCH. It has some good features, but the edge is not strong enough yet. Current score: 72/100. Main read: Price is above the 20-day average Price is above the 50-day average Pullback is holding above key trend averages 20-day momentum is positive Blockers: Healthcare sector is weak"
